,valor
1982-03-01,96.428014584846
1982-04-01,96.2849854661394
1982-05-01,96.2315478679736
1982-06-01,96.2702296921945
1982-07-01,96.388006360619
1982-08-01,96.5716124403142
1982-09-01,96.8262851636435
1982-10-01,97.1475148859112
1982-11-01,97.5478356091757
1982-12-01,98.0365230106962
1983-01-01,98.6007679430233
1983-02-01,99.213711952123
1983-03-01,99.8448698531682
1983-04-01,100.461193859431
1983-05-01,101.027997463571
1983-06-01,101.512743662295
1983-07-01,101.899062285512
1983-08-01,102.187391192503
1983-09-01,102.397964941883
1983-10-01,102.53863448406
1983-11-01,102.614819568541
1983-12-01,102.628545604238
1984-01-01,102.583961739991
1984-02-01,102.47038823008
1984-03-01,102.280720125776
1984-04-01,102.023584029142
1984-05-01,101.728278435325
1984-06-01,101.418776389799
1984-07-01,101.127041981402
1984-08-01,100.871998811436
1984-09-01,100.670491103214
1984-10-01,100.529068284326
1984-11-01,100.433838140421
1984-12-01,100.363205644697
1985-01-01,100.308630135932
1985-02-01,100.257084475217
1985-03-01,100.214557948357
1985-04-01,100.180054271708
1985-05-01,100.149582573807
1985-06-01,100.123375776845
1985-07-01,100.091342217957
1985-08-01,100.062469409624
1985-09-01,100.041931609846
1985-10-01,100.036068639148
1985-11-01,100.051194066427
1985-12-01,100.083147365224
1986-01-01,100.109701658443
1986-02-01,100.118818226385
1986-03-01,100.111204048098
1986-04-01,100.095804675597
1986-05-01,100.077691312444
1986-06-01,100.045649653264
1986-07-01,99.9962525377049
1986-08-01,99.9445820784402
1986-09-01,99.8998918147681
1986-10-01,99.8728846532993
1986-11-01,99.8861847230351
1986-12-01,99.9663880985148
1987-01-01,100.123656389833
1987-02-01,100.334836013371
1987-03-01,100.555072656984
1987-04-01,100.756178557819
1987-05-01,100.922308716818
1987-06-01,101.037785370063
1987-07-01,101.083613177729
1987-08-01,101.038847871582
1987-09-01,100.908697948894
1987-10-01,100.723149418228
1987-11-01,100.535155182997
1987-12-01,100.40347801181
1988-01-01,100.335539503797
1988-02-01,100.322689911086
1988-03-01,100.353196853165
1988-04-01,100.41244491978
1988-05-01,100.487475093027
1988-06-01,100.556934565085
1988-07-01,100.598982363944
1988-08-01,100.617876970546
1988-09-01,100.622855136815
1988-10-01,100.622376526264
1988-11-01,100.616758607256
1988-12-01,100.598070702672
1989-01-01,100.543664563877
1989-02-01,100.435398533615
1989-03-01,100.280748190804
1989-04-01,100.106613655272
1989-05-01,99.9397145759864
1989-06-01,99.8105652909305
1989-07-01,99.731306058436
1989-08-01,99.7002885325803
1989-09-01,99.7026778030945
1989-10-01,99.7170730688037
1989-11-01,99.7408970097781
1989-12-01,99.7711156365107
1990-01-01,99.8051040568562
1990-02-01,99.8352683221024
1990-03-01,99.8344458753748
1990-04-01,99.759271405586
1990-05-01,99.5881768280345
1990-06-01,99.3014792516152
1990-07-01,98.9049616661602
1990-08-01,98.4298725574931
1990-09-01,97.9490186222729
1990-10-01,97.5315457712368
1990-11-01,97.2429059620302
1990-12-01,97.128451321326
1991-01-01,97.187954184116
1991-02-01,97.4045250001965
1991-03-01,97.7262136538226
1991-04-01,98.0925700413762
1991-05-01,98.4606540761817
1991-06-01,98.7972700270309
1991-07-01,99.0553044571317
1991-08-01,99.1957545023186
1991-09-01,99.2251835005658
1991-10-01,99.1762359406028
1991-11-01,99.1031927201491
1991-12-01,99.0696772485071
1992-01-01,99.1202386585516
1992-02-01,99.2462202246799
1992-03-01,99.415702035181
1992-04-01,99.5692589807675
1992-05-01,99.6664503977861
1992-06-01,99.695422626768
1992-07-01,99.6842943670852
1992-08-01,99.6738164494219
1992-09-01,99.7069420739598
1992-10-01,99.8075979621281
1992-11-01,99.9533968168708
1992-12-01,100.084158318495
1993-01-01,100.147777810196
1993-02-01,100.130865036097
1993-03-01,100.039763827102
1993-04-01,99.9058835366921
1993-05-01,99.750221095303
1993-06-01,99.6194750055216
1993-07-01,99.5483174069107
1993-08-01,99.5623974229825
1993-09-01,99.6676607854398
1993-10-01,99.8542317777628
1993-11-01,100.091154599264
